id;year;date_start;date_end;title;category
1;2017;2017-01-17;2017-01-17;Xi Jinping speech at the World Economic Forum in Davos;Diplomacy
2;2017;2017-01-06;2017-01-06;Seventh Plenum of the 18th Central Commission for Discipline Inspection (CCDI);Domestic politics
3;2017;2017-02-10;2017-02-10;Xi Jinping meets US Secretary of State Rex Tillerson in Beijing;Diplomacy
4;2017;2017-03-05;2017-03-15;National People's Congress annual session;Domestic politics
5;2017;2017-03-15;2017-03-15;Adoption of the General Provisions of the Civil Law of the PRC;Law
6;2017;2017-04-06;2017-04-07;Xi–Trump summit at Mar-a-Lago;Diplomacy
7;2017;2017-04-26;2017-04-26;Launch of China’s first domestically built aircraft carrier (Type 001A);Security
8;2017;2017-05-14;2017-05-15;Belt and Road Forum for International Cooperation (Beijing);BRI
9;2017;2017-06-01;2017-06-01;Cybersecurity Law of the PRC enters into force;Law
10;2017;2017-06-09;2017-06-09;Shanghai Cooperation Organization summit in Astana;Diplomacy
11;2017;2017-06-16;2017-06-16;Xi Jinping visit to Kazakhstan during SCO summit;Diplomacy
12;2017;2017-07-30;2017-07-30;PLA 90th anniversary military parade at Zhurihe training base;Security
13;2017;2017-06;2017-08;Doklam standoff between China and India;Security
14;2017;2017-07-15;2017-07-15;National Financial Work Conference in Beijing;Economy
15;2017;2017-09-03;2017-09-05;BRICS Summit in Xiamen;BRICS
16;2017;2017-10-18;2017-10-24;19th Communist Party Congress;Domestic politics
17;2017;2017-11-08;2017-11-10;Donald Trump state visit to China;Diplomacy
18;2017;2017-12-18;2017-12-20;Central Economic Work Conference;Economy
19;2017;2017-12-01;2017-12-01;China launches Dark Matter Particle Explorer results announcement;Technology
20;2017;2017-12-03;2017-12-03;Fourth World Internet Conference in Wuzhen;Technology / Internet governance
21;2018;2018-01-22;2018-01-22;Central Political-Legal Work Conference Beijing;Domestic politics
22;2018;2018-01-12;2018-01-12;Launch of BeiDou-3 satellites (navigation system expansion);Technology
23;2018;2018-01-05;2018-01-05;China releases 2018 AI development roadmap;Technology
24;2018;2018-03-11;2018-03-11;Constitutional amendment abolishing presidential term limits;Law
25;2018;2018-03-17;2018-03-17;Xi Jinping re-elected President of China;Domestic politics
26;2018;2018-04-27;2018-04-28;Xi–Modi Wuhan informal summit;Diplomacy
27;2018;2018-04-16;2018-04-16;United States imposes sanctions on ZTE;Technology
28;2018;2018-06-09;2018-06-10;Shanghai Cooperation Organization summit Qingdao;Diplomacy
29;2018;2018-07-06;2018-07-06;Start of US-China trade war tariffs;Economy
